time,ssid,raw_rssi,filtered_rssi,distance,x,y
528018,TestNetwork1,-50,-51.37,0.30,1.82,0.95
528018,TestNetwork3,-35,-38.59,0.30,1.82,0.95
528018,TestNetwork2,-62,-63.47,1.24,1.82,0.95
531568,TestNetwork1,-50,-51.30,0.30,1.81,0.96
531568,TestNetwork3,-36,-38.47,0.30,1.81,0.96
531568,TestNetwork2,-65,-63.54,1.26,1.81,0.96
535118,TestNetwork1,-51,-51.29,0.30,1.80,0.96
535118,TestNetwork3,-38,-38.44,0.30,1.80,0.96
535118,TestNetwork2,-67,-63.71,1.29,1.80,0.96
538668,TestNetwork1,-51,-51.28,0.30,1.80,0.97
538668,TestNetwork3,-38,-38.42,0.30,1.80,0.97
538668,TestNetwork2,-65,-63.77,1.30,1.80,0.97
542218,TestNetwork1,-49,-51.16,0.30,1.81,0.96
542218,TestNetwork3,-38,-38.40,0.30,1.81,0.96
542218,TestNetwork2,-60,-63.59,1.26,1.81,0.96
549268,TestNetwork1,-51,-51.10,0.30,1.81,0.96
549268,TestNetwork3,-35,-38.08,0.30,1.81,0.96
549268,TestNetwork2,-63,-63.56,1.26,1.81,0.96
552818,TestNetwork1,-50,-51.05,0.30,1.80,0.96
552818,TestNetwork3,-35,-37.93,0.30,1.80,0.96
552818,TestNetwork2,-67,-63.73,1.29,1.80,0.96
556368,TestNetwork1,-51,-51.05,0.30,1.81,0.96
556368,TestNetwork3,-39,-37.98,0.30,1.81,0.96
556368,TestNetwork2,-60,-63.55,1.26,1.81,0.96
559918,TestNetwork1,-52,-51.09,0.30,1.82,0.96
559918,TestNetwork3,-39,-38.03,0.30,1.82,0.96
559918,TestNetwork2,-63,-63.52,1.25,1.82,0.96
563468,TestNetwork1,-51,-51.09,0.30,1.80,0.97
563468,TestNetwork3,-36,-37.93,0.30,1.80,0.97
563468,TestNetwork2,-70,-63.84,1.31,1.80,0.97
567028,TestNetwork1,-53,-51.18,0.30,1.77,0.99
567028,TestNetwork3,-40,-38.03,0.30,1.77,0.99
567028,TestNetwork2,-73,-64.28,1.39,1.77,0.99
570588,TestNetwork1,-52,-51.22,0.30,1.76,1.00
570588,TestNetwork3,-40,-38.13,0.30,1.76,1.00
570588,TestNetwork2,-68,-64.46,1.43,1.76,1.00
574148,TestNetwork1,-51,-51.21,0.30,1.75,1.00
574148,TestNetwork3,-37,-38.07,0.30,1.75,1.00
574148,TestNetwork2,-66,-64.54,1.44,1.75,1.00
577708,TestNetwork1,-49,-51.10,0.30,1.74,1.01
577708,TestNetwork3,-38,-38.07,0.30,1.74,1.01
577708,TestNetwork2,-67,-64.66,1.47,1.74,1.01
581298,TestNetwork1,-51,-51.10,0.30,1.74,1.01
581298,TestNetwork3,-35,-37.92,0.30,1.74,1.01
581298,TestNetwork2,-66,-64.73,1.48,1.74,1.01
584888,TestNetwork1,-51,-51.09,0.30,1.73,1.01
584888,TestNetwork3,-39,-37.97,0.30,1.73,1.01
584888,TestNetwork2,-66,-64.79,1.49,1.73,1.01
588478,TestNetwork1,-50,-51.04,0.30,1.74,1.01
588478,TestNetwork3,-39,-38.02,0.30,1.74,1.01
588478,TestNetwork2,-63,-64.70,1.48,1.74,1.01
592068,TestNetwork1,-52,-51.09,0.30,1.75,1.00
592068,TestNetwork3,-36,-37.92,0.30,1.75,1.00
592068,TestNetwork2,-61,-64.52,1.44,1.75,1.00
595648,TestNetwork1,-54,-51.23,0.30,1.76,0.99
595648,TestNetwork3,-36,-37.83,0.30,1.76,0.99
595648,TestNetwork2,-61,-64.35,1.41,1.76,0.99
599218,TestNetwork1,-51,-51.22,0.30,1.75,1.00
599218,TestNetwork3,-36,-37.74,0.30,1.75,1.00
599218,TestNetwork2,-68,-64.53,1.44,1.75,1.00
602788,TestNetwork1,-53,-51.30,0.30,1.75,1.00
602788,TestNetwork3,-39,-37.80,0.30,1.75,1.00
602788,TestNetwork2,-64,-64.50,1.44,1.75,1.00
606368,TestNetwork1,-52,-51.34,0.30,1.75,1.00
606368,TestNetwork3,-36,-37.71,0.30,1.75,1.00
606368,TestNetwork2,-65,-64.52,1.44,1.75,1.00
609948,TestNetwork1,-54,-51.47,0.30,1.75,1.00
609948,TestNetwork3,-37,-37.68,0.30,1.75,1.00
609948,TestNetwork2,-65,-64.55,1.45,1.75,1.00
613528,TestNetwork1,-52,-51.49,0.30,1.75,1.00
613528,TestNetwork3,-39,-37.74,0.30,1.75,1.00
613528,TestNetwork2,-65,-64.57,1.45,1.75,1.00
617108,TestNetwork1,-53,-51.57,0.30,1.73,1.01
617108,TestNetwork3,-36,-37.66,0.30,1.73,1.01
617108,TestNetwork2,-70,-64.83,1.50,1.73,1.01
620688,TestNetwork1,-52,-51.59,0.30,1.71,1.03
620688,TestNetwork3,-36,-37.58,0.30,1.71,1.03
620688,TestNetwork2,-69,-65.04,1.55,1.71,1.03
624268,TestNetwork1,-54,-51.71,0.30,1.71,1.03
624268,TestNetwork3,-39,-37.65,0.30,1.71,1.03
624268,TestNetwork2,-65,-65.04,1.55,1.71,1.03
627888,TestNetwork1,-53,-51.77,0.30,1.71,1.03
627888,TestNetwork3,-40,-37.76,0.30,1.71,1.03
627888,TestNetwork2,-65,-65.03,1.55,1.71,1.03
631428,TestNetwork1,-49,-51.63,0.30,1.72,1.02
631428,TestNetwork3,-36,-37.68,0.30,1.72,1.02
631428,TestNetwork2,-64,-64.98,1.54,1.72,1.02
634968,TestNetwork1,-51,-51.60,0.30,1.74,1.01
634968,TestNetwork3,-38,-37.69,0.30,1.74,1.01
634968,TestNetwork2,-60,-64.74,1.49,1.74,1.01
638538,TestNetwork1,-52,-51.62,0.30,1.73,1.01
638538,TestNetwork3,-35,-37.56,0.30,1.73,1.01
638538,TestNetwork2,-66,-64.80,1.50,1.73,1.01
642108,TestNetwork1,-50,-51.54,0.30,1.73,1.02
642108,TestNetwork3,-38,-37.58,0.30,1.73,1.02
642108,TestNetwork2,-66,-64.86,1.51,1.73,1.02
645678,TestNetwork1,-50,-51.47,0.30,1.74,1.00
645678,TestNetwork3,-36,-37.50,0.30,1.74,1.00
645678,TestNetwork2,-60,-64.62,1.46,1.74,1.00
649248,TestNetwork1,-51,-51.45,0.30,1.75,1.00
649248,TestNetwork3,-36,-37.43,0.30,1.75,1.00
649248,TestNetwork2,-63,-64.54,1.44,1.75,1.00
652828,TestNetwork1,-51,-51.42,0.30,1.75,1.00
652828,TestNetwork3,-36,-37.36,0.30,1.75,1.00
652828,TestNetwork2,-64,-64.52,1.44,1.75,1.00
656388,TestNetwork1,-52,-51.45,0.30,1.76,0.99
656388,TestNetwork3,-38,-37.39,0.30,1.76,0.99
656388,TestNetwork2,-63,-64.44,1.42,1.76,0.99
659938,TestNetwork1,-49,-51.33,0.30,1.75,1.00
659938,TestNetwork3,-35,-37.28,0.30,1.75,1.00
659938,TestNetwork2,-67,-64.57,1.45,1.75,1.00
663488,TestNetwork1,-50,-51.27,0.30,1.76,0.99
663488,TestNetwork3,-39,-37.36,0.30,1.76,0.99
663488,TestNetwork2,-62,-64.44,1.42,1.76,0.99
667039,TestNetwork1,-52,-51.30,0.30,1.77,0.99
667039,TestNetwork3,-36,-37.29,0.30,1.77,0.99
667039,TestNetwork2,-60,-64.23,1.38,1.77,0.99
670598,TestNetwork1,-51,-51.29,0.30,1.80,0.97
670598,TestNetwork3,-35,-37.18,0.30,1.80,0.97
670598,TestNetwork2,-56,-63.83,1.31,1.80,0.97
674158,TestNetwork1,-50,-51.23,0.30,1.81,0.96
674158,TestNetwork3,-36,-37.12,0.30,1.81,0.96
674158,TestNetwork2,-60,-63.64,1.27,1.81,0.96
677718,TestNetwork1,-50,-51.17,0.30,1.82,0.95
677718,TestNetwork3,-39,-37.22,0.30,1.82,0.95
677718,TestNetwork2,-59,-63.41,1.23,1.82,0.95
681278,TestNetwork1,-50,-51.11,0.30,1.83,0.95
681278,TestNetwork3,-35,-37.11,0.30,1.83,0.95
681278,TestNetwork2,-59,-63.20,1.20,1.83,0.95
684838,TestNetwork1,-50,-51.05,0.30,1.82,0.95
684838,TestNetwork3,-36,-37.05,0.30,1.82,0.95
684838,TestNetwork2,-67,-63.38,1.23,1.82,0.95
688408,TestNetwork1,-51,-51.05,0.30,1.82,0.96
688408,TestNetwork3,-35,-36.95,0.30,1.82,0.96
688408,TestNetwork2,-66,-63.51,1.25,1.82,0.96
691978,TestNetwork1,-50,-51.00,0.30,1.83,0.95
691978,TestNetwork3,-35,-36.86,0.30,1.83,0.95
691978,TestNetwork2,-60,-63.34,1.22,1.83,0.95
695548,TestNetwork1,-51,-51.00,0.30,1.83,0.95
695548,TestNetwork3,-39,-36.96,0.30,1.83,0.95
695548,TestNetwork2,-62,-63.27,1.21,1.83,0.95
699138,TestNetwork1,-51,-51.00,0.30,1.83,0.94
699138,TestNetwork3,-33,-36.77,0.30,1.83,0.94
699138,TestNetwork2,-61,-63.16,1.19,1.83,0.94
702728,TestNetwork1,-50,-50.95,0.30,1.83,0.95
702728,TestNetwork3,-33,-36.59,0.30,1.83,0.95
702728,TestNetwork2,-64,-63.20,1.20,1.83,0.95
706317,TestNetwork1,-50,-50.91,0.30,1.83,0.95
706317,TestNetwork3,-36,-36.56,0.30,1.83,0.95
706317,TestNetwork2,-65,-63.29,1.21,1.83,0.95
709908,TestNetwork1,-52,-50.96,0.30,1.84,0.94
709908,TestNetwork3,-38,-36.63,0.30,1.84,0.94
709908,TestNetwork2,-59,-63.08,1.18,1.84,0.94
713517,TestNetwork1,-54,-51.11,0.30,1.84,0.94
713517,TestNetwork3,-37,-36.65,0.30,1.84,0.94
713517,TestNetwork2,-61,-62.98,1.16,1.84,0.94
717107,TestNetwork1,-51,-51.10,0.30,1.85,0.94
717107,TestNetwork3,-34,-36.52,0.30,1.85,0.94
717107,TestNetwork2,-62,-62.93,1.15,1.85,0.94
720708,TestNetwork1,-52,-51.15,0.30,1.84,0.94
720708,TestNetwork3,-38,-36.59,0.30,1.84,0.94
720708,TestNetwork2,-64,-62.98,1.16,1.84,0.94
724287,TestNetwork1,-52,-51.19,0.30,1.85,0.93
724287,TestNetwork3,-39,-36.71,0.30,1.85,0.93
724287,TestNetwork2,-59,-62.79,1.13,1.85,0.93
727868,TestNetwork1,-51,-51.18,0.30,1.85,0.94
727868,TestNetwork3,-35,-36.62,0.30,1.85,0.94
727868,TestNetwork2,-65,-62.90,1.15,1.85,0.94
